1st,2nd,3rd,4th,5th,Placement_activity,Gender,college_code,Fields_of_Study,scholarship
6.95,3.46,6.33,3.9,8.64,C,F,165,Art,0.0
6.12,6.45,3.52,8.52,6.6,A,Male,241,Environmental Science and Health,0.0
3.07,5.42,6.82,6.33,5.1,C,M,241,Engineering,0.0
3.97,7.53,4.93,3.68,5.12,B,F,165,Environmental Science and Health,0.0
3.22,6.28,7.02,3.71,4.55,A,M,115,Engineering,0.0
5.98,5.18,7.36,4.73,6.18,E,F,115,Environmental Science and Health,0.0
3.77,7.31,6.48,4.95,5.09,A,F,241,Environmental Science and Health,3169.82
7.23,7.2,7.8,7.4,7.44,D,Female,165,Public Relations and Administration,0.0
6.29,6.26,7.56,8.33,4.07,C,M,165,Economics,12232.66
7.56,4.37,5.54,4.27,5.4,A,F,165,Environmental Science and Health,0.0
8.7,5.94,6.15,6.17,7.58,C,Female,116,Aeronautics and Aviation Science,11652.23
5.85,3.76,8.54,8.62,4.72,C,Male,116,Economics,0.0
6.51,5.66,7.28,4.27,8.54,C,M,115,Engineering,10104.18
5.03,4.95,8.21,5.85,9.18,E,F,241,Economics,0.0
5.3,4.57,6.09,4.45,4.16,E,F,165,Economics,0.0
6.85,8.2,6.65,3.63,8.81,D,Female,241,Environmental Science and Health,0.0
6.37,6.8,7.21,8.81,4.71,C,Male,165,Environmental Science and Health,0.0
7.26,3.73,3.78,8.56,5.42,C,Female,115,Aeronautics and Aviation Science,0.0
5.14,5.73,3.97,4.87,6.53,D,Male,115,Economics,0.0
5.42,4.59,4.12,8.12,7.96,D,Female,165,Aeronautics and Aviation Science,0.0
7.64,3.76,7.18,8.61,6.85,A,F,116,Engineering,3674.66
6.99,3.81,4.84,8.73,6.9,D,Female,165,Art,4540.35
6.1,4.79,7.48,8.71,8.16,E,F,116,Economics,0.0
8.78,6.7,4.78,3.98,7.73,B,F,165,Environmental Science and Health,0.0
7.43,7.48,3.51,4.75,4.25,C,M,241,Economics,0.0
4.68,5.45,5.83,5.61,8.19,A,Male,241,Economics,7923.32
3.43,4.29,7.73,7.91,7.58,D,M,241,Aeronautics and Aviation Science,0.0
6.94,7.97,6.26,8.13,5.26,C,M,116,Engineering,0.0
5.38,3.91,6.6,4.53,6.33,B,Male,165,Engineering,0.0
8.13,7.64,5.69,6.99,8.72,B,F,116,Environmental Science and Health,0.0
3.8,3.31,7.9,4.9,9.35,C,Male,241,Engineering,0.0
4.22,6.88,7.3,6.74,7.9,A,Male,165,Art,0.0
3.31,4.08,7.2,5.29,8.76,D,Male,116,Economics,0.0
3.28,4.11,4.73,7.87,5.22,D,Female,115,Aeronautics and Aviation Science,0.0
8.4,7.21,8.14,4.29,5.45,E,M,241,Public Relations and Administration,3316.06
5.3,4.48,5.65,5.93,9.6,C,F,115,Economics,0.0
7.86,7.22,4.08,7.11,4.52,C,Female,115,Public Relations and Administration,0.0
5.16,4.24,6.74,4.84,4.82,D,F,115,Engineering,0.0
7.09,4.84,6.95,8.69,8.22,D,M,165,Engineering,0.0
7.2,7.62,7.65,6.81,7.77,B,F,241,Environmental Science and Health,0.0
6.07,5.85,7.95,8.76,4.51,C,M,115,Engineering,0.0
7.49,4.68,7.26,3.51,9.04,E,F,115,Engineering,0.0
4.83,5.42,8.27,6.53,4.26,D,Female,165,Aeronautics and Aviation Science,0.0
8.27,4.78,8.05,6.22,8.97,A,Male,116,Economics,0.0
6.75,6.68,5.39,4.4,5.84,B,M,116,Art,6308.23
5.38,4.48,7.77,5.5,8.72,E,M,115,Public Relations and Administration,12286.39
8.47,6.6,5.61,8.07,4.09,C,Male,241,Environmental Science and Health,0.0
6.63,4.41,8.54,7.84,5.9,B,M,241,Environmental Science and Health,0.0
5.74,6.8,5.95,7.21,5.55,C,F,165,Engineering,0.0
4.35,7.4,7.9,7.85,5.42,C,Female,165,Aeronautics and Aviation Science,0.0
6.06,7.83,7.32,7.48,4.04,D,Male,116,Environmental Science and Health,0.0
8.27,6.84,6.5,7.55,4.68,B,Male,116,Public Relations and Administration,0.0
6.74,6.03,4.75,5.68,6.0,D,M,165,Aeronautics and Aviation Science,0.0
8.48,7.97,5.34,5.45,4.14,C,Male,116,Aeronautics and Aviation Science,3514.37
7.17,6.25,4.73,4.8,5.12,C,F,241,Environmental Science and Health,0.0
3.0,5.55,5.71,3.59,7.06,B,F,115,Environmental Science and Health,0.0
6.0,7.53,7.48,4.93,5.85,C,M,116,Economics,0.0
3.46,4.47,6.67,8.65,8.73,E,M,116,Environmental Science and Health,0.0
8.22,3.53,6.17,4.1,8.23,C,Female,116,Economics,3244.64
7.01,8.2,7.97,8.67,8.95,B,Female,241,Economics,0.0
3.06,5.51,6.62,5.1,7.53,C,F,116,Environmental Science and Health,0.0
7.99,3.97,5.38,5.73,7.43,D,F,115,Environmental Science and Health,2582.0
3.06,6.22,5.0,7.26,5.94,D,M,115,Art,0.0
5.76,3.91,5.96,8.86,9.6,C,Female,241,Economics,1269.52
6.12,6.49,7.66,5.22,5.04,E,Male,116,Economics,10148.29
4.64,7.99,5.16,5.88,4.16,B,F,115,Environmental Science and Health,0.0
3.01,3.56,5.72,5.63,9.64,C,F,165,Environmental Science and Health,13320.75
8.78,4.3,6.47,8.27,4.94,C,F,241,Public Relations and Administration,0.0
8.09,5.21,6.25,5.18,7.6,C,M,241,Environmental Science and Health,0.0
6.36,3.86,6.62,8.52,4.42,D,M,115,Economics,0.0
5.3,3.86,3.99,5.56,8.71,A,M,165,Art,0.0
7.02,6.91,7.83,8.32,8.84,C,F,165,Economics,0.0
7.01,4.53,7.52,3.92,9.25,C,M,116,Engineering,0.0
8.93,8.18,5.56,5.34,9.05,D,Female,116,Economics,2645.49
7.66,5.61,5.11,6.57,4.5,C,F,165,Public Relations and Administration,0.0
8.97,6.9,7.59,6.74,6.77,B,M,116,Environmental Science and Health,0.0
6.79,7.85,5.51,3.75,7.43,B,F,241,Environmental Science and Health,14835.08
3.74,7.33,7.4,6.46,6.67,E,Male,115,Public Relations and Administration,0.0
3.26,6.92,7.5,4.39,4.62,C,M,165,Economics,0.0
5.66,3.47,4.67,5.91,8.82,E,F,116,Environmental Science and Health,0.0
7.2,3.89,5.25,4.55,8.58,E,Male,241,Engineering,7949.29
6.31,5.71,7.45,6.25,6.79,C,Male,165,Economics,0.0
7.22,7.89,7.98,5.05,6.15,C,M,116,Engineering,2441.41
2.95,6.88,8.57,8.4,5.9,D,M,241,Public Relations and Administration,0.0
7.16,6.78,7.57,7.96,8.0,E,Female,115,Art,0.0
3.19,4.26,8.1,6.67,9.19,D,F,241,Aeronautics and Aviation Science,0.0
5.85,3.37,4.76,7.33,8.53,C,F,115,Art,12641.46
6.44,5.79,7.34,5.34,6.06,C,Male,165,Engineering,14165.63
7.43,5.4,5.22,8.46,8.49,B,M,116,Engineering,0.0
4.16,5.08,5.33,5.18,6.29,D,Female,241,Aeronautics and Aviation Science,0.0
8.32,4.49,8.62,8.2,9.26,A,F,241,Engineering,0.0
3.38,6.8,6.26,6.76,4.49,C,F,116,Economics,0.0
7.77,6.23,4.65,4.03,7.92,A,F,165,Art,0.0
7.92,6.95,3.97,7.4,5.33,C,Female,115,Engineering,7628.59
5.87,7.52,4.99,5.25,4.19,D,Female,115,Economics,10344.28
6.77,6.78,6.46,4.03,7.53,D,Female,116,Engineering,0.0
7.9,4.67,6.98,5.38,4.97,C,M,116,Economics,0.0
3.9,7.51,4.36,4.35,8.11,D,Male,115,Engineering,0.0
6.71,4.24,7.13,8.53,4.92,C,M,165,Economics,13152.88
7.18,3.42,8.29,7.21,4.37,B,M,116,Environmental Science and Health,0.0
6.28,4.34,3.93,6.79,9.04,C,Female,165,Environmental Science and Health,0.0
6.52,5.51,6.45,5.08,9.29,C,Male,116,Aeronautics and Aviation Science,0.0
4.31,6.01,7.01,5.28,4.4,C,M,115,Engineering,11028.44
3.95,6.7,7.94,5.59,4.28,C,M,115,Economics,9184.23
7.96,3.96,8.33,8.13,7.81,C,F,165,Engineering,6007.33
5.7,6.35,6.22,4.28,8.47,E,Female,116,Engineering,0.0
7.46,4.63,5.21,7.33,9.45,D,M,241,Economics,0.0
5.9,6.06,3.54,5.75,6.84,C,Male,115,Public Relations and Administration,0.0
7.26,7.73,5.08,8.78,8.17,E,Male,115,Public Relations and Administration,0.0
4.54,4.65,6.3,4.57,5.24,B,Female,165,Engineering,0.0
5.48,8.05,6.45,6.34,6.98,C,Male,165,Engineering,1244.08
4.49,3.67,7.98,6.35,6.05,C,Female,165,Engineering,0.0
6.84,5.11,5.26,8.83,7.38,D,Female,241,Engineering,0.0
4.18,4.87,4.94,8.47,7.23,C,Female,165,Engineering,0.0
6.01,6.13,5.71,6.91,7.25,D,Male,115,Environmental Science and Health,0.0
7.08,4.71,8.2,4.32,4.65,C,M,116,Engineering,0.0
6.66,5.25,3.63,6.2,4.21,B,M,241,Economics,0.0
8.95,6.15,7.4,7.01,7.29,B,Female,165,Art,0.0
6.59,4.1,3.96,8.75,7.48,B,Male,116,Environmental Science and Health,7560.48
7.35,4.23,6.23,6.64,9.29,C,F,241,Engineering,0.0
5.94,6.16,4.21,6.22,8.11,A,Male,116,Public Relations and Administration,0.0
4.05,4.12,8.08,4.6,7.16,D,M,115,Art,0.0
3.01,5.12,3.75,6.44,5.32,A,M,165,Aeronautics and Aviation Science,6971.79
3.35,6.89,8.2,8.84,9.19,A,Male,165,Public Relations and Administration,0.0
5.69,6.06,5.92,6.21,5.74,B,F,165,Environmental Science and Health,0.0
6.78,4.79,7.02,7.23,8.54,B,Male,116,Art,0.0
4.25,3.67,5.47,5.52,5.65,B,Female,116,Aeronautics and Aviation Science,0.0
3.79,6.52,5.67,5.83,9.61,A,Female,241,Engineering,4776.04
5.08,4.31,4.61,7.78,6.15,C,M,116,Art,2132.13
3.28,7.83,4.64,4.39,7.11,D,F,165,Engineering,0.0
6.71,3.47,7.92,7.35,8.55,A,Male,116,Engineering,0.0
4.5,3.7,4.5,6.01,5.17,D,Male,115,Engineering,0.0
7.84,4.27,3.51,6.03,4.68,A,Male,165,Public Relations and Administration,0.0
4.12,3.93,4.98,7.59,7.04,E,Male,115,Public Relations and Administration,6088.59
3.93,3.42,7.61,6.23,6.81,C,Female,241,Environmental Science and Health,0.0
3.94,3.97,6.4,7.67,5.26,C,F,241,Environmental Science and Health,0.0
3.03,6.98,5.22,5.99,4.28,C,Female,241,Economics,0.0
3.55,3.94,4.06,5.91,7.14,D,F,241,Engineering,0.0
3.28,8.19,4.46,6.87,6.04,C,F,241,Public Relations and Administration,0.0
4.53,6.75,7.76,5.48,9.12,C,Male,116,Art,14766.94
4.81,7.27,7.0,6.69,9.14,B,Male,165,Engineering,0.0
6.8,5.69,7.97,8.79,9.09,D,Female,115,Engineering,0.0
5.73,4.84,5.31,6.57,6.9,B,M,115,Aeronautics and Aviation Science,1970.93
5.72,6.31,6.2,8.67,6.97,A,F,115,Aeronautics and Aviation Science,0.0
3.25,3.56,5.37,6.44,6.34,D,F,115,Art,0.0
5.26,7.09,8.12,8.22,4.88,E,M,116,Engineering,0.0
7.18,6.38,6.08,6.7,7.43,A,F,165,Economics,0.0
4.23,4.74,8.65,8.83,9.18,C,M,241,Public Relations and Administration,0.0
7.8,5.34,6.23,7.72,5.67,B,M,165,Art,1911.24
6.84,5.76,5.53,8.25,8.63,C,F,165,Public Relations and Administration,0.0
4.11,7.06,8.36,4.99,5.03,C,Male,165,Environmental Science and Health,0.0
6.56,3.79,7.73,6.69,8.51,D,Female,115,Engineering,0.0
5.72,6.84,5.44,5.3,8.79,C,Female,165,Engineering,11618.85
7.28,6.85,6.52,6.22,7.56,D,F,115,Aeronautics and Aviation Science,0.0
8.35,5.54,6.34,7.89,5.53,C,F,116,Art,0.0
3.75,4.22,4.43,8.24,4.66,C,Female,165,Engineering,0.0
3.69,3.49,7.56,8.77,8.3,C,F,116,Environmental Science and Health,0.0
7.03,5.56,5.98,4.68,5.31,B,Female,241,Environmental Science and Health,0.0
8.58,3.88,8.08,6.92,8.68,C,F,115,Art,0.0
3.82,8.02,7.28,5.31,4.81,E,F,116,Engineering,0.0
6.74,4.38,7.07,5.01,6.83,A,M,116,Public Relations and Administration,0.0
7.62,7.23,8.44,7.47,7.02,D,F,241,Public Relations and Administration,0.0
6.33,5.55,6.07,4.65,4.69,B,M,165,Environmental Science and Health,13986.73
6.88,7.51,8.21,8.08,4.24,C,Male,165,Engineering,0.0
7.25,5.69,5.09,6.49,9.42,B,F,116,Economics,0.0
4.28,7.41,5.47,7.19,4.93,A,Female,165,Public Relations and Administration,11629.94
6.09,3.56,5.2,6.03,5.17,C,Female,116,Engineering,0.0
3.46,5.57,5.42,5.16,6.51,C,F,165,Environmental Science and Health,1996.44
7.48,3.33,8.65,4.04,8.46,D,M,165,Engineering,0.0
8.2,4.55,7.96,4.25,5.55,B,F,115,Engineering,10647.65
6.69,7.63,7.34,5.73,5.94,E,Female,241,Environmental Science and Health,0.0
4.75,8.12,8.12,4.77,5.6,C,F,115,Aeronautics and Aviation Science,0.0
6.51,5.25,3.74,7.06,4.62,D,M,116,Engineering,0.0
7.11,6.0,6.64,7.93,8.48,D,F,116,Aeronautics and Aviation Science,11184.99
6.76,5.45,6.3,5.31,6.06,E,Male,116,Engineering,0.0
4.55,6.19,4.14,4.55,4.01,D,Female,241,Environmental Science and Health,0.0
3.65,7.79,7.6,8.26,7.01,B,F,116,Aeronautics and Aviation Science,0.0
8.34,7.49,4.11,7.15,7.08,D,M,165,Economics,0.0
4.08,7.29,3.66,8.16,5.22,D,Female,241,Aeronautics and Aviation Science,6737.75
3.0,6.82,8.03,8.08,4.33,D,Female,241,Engineering,0.0
7.27,4.17,4.72,6.95,6.78,C,Male,115,Art,12233.13
4.83,7.72,3.86,3.57,4.76,D,M,165,Environmental Science and Health,0.0
4.75,7.68,8.68,8.46,8.11,E,F,241,Engineering,0.0
2.9,7.14,7.13,3.59,7.64,C,Male,165,Engineering,0.0
3.64,3.32,6.03,6.45,8.89,C,Female,116,Economics,1691.62
3.64,5.7,7.19,7.15,8.45,E,M,241,Public Relations and Administration,0.0
7.09,5.33,8.62,5.11,8.55,E,M,165,Environmental Science and Health,3199.24
6.43,8.1,3.88,6.87,5.52,E,Male,115,Public Relations and Administration,0.0
7.96,8.1,6.4,7.3,8.05,E,Female,165,Environmental Science and Health,0.0
3.94,7.53,4.36,5.49,4.08,B,Female,115,Engineering,0.0
3.16,7.83,7.44,7.12,8.03,D,Male,241,Public Relations and Administration,3525.91
7.6,6.46,5.02,6.13,9.22,C,M,115,Art,0.0
3.65,7.94,5.51,5.66,9.14,C,M,165,Engineering,0.0
8.43,7.75,3.51,5.32,5.42,C,Female,115,Aeronautics and Aviation Science,14294.33
3.89,4.42,3.83,8.12,8.79,C,Male,165,Environmental Science and Health,0.0
4.36,6.33,8.15,8.44,4.56,C,Female,165,Aeronautics and Aviation Science,0.0
6.68,7.64,6.31,7.44,4.82,A,Female,241,Economics,0.0
5.71,7.35,7.6,6.08,6.25,C,M,115,Environmental Science and Health,0.0
4.64,4.52,7.21,8.28,4.32,C,M,115,Economics,0.0
3.39,7.91,4.27,3.74,5.89,C,Male,116,Engineering,9342.99
3.03,4.26,6.59,6.11,8.12,D,Male,241,Environmental Science and Health,6784.13
6.37,4.85,7.62,4.98,9.55,C,F,115,Public Relations and Administration,0.0
8.64,5.2,4.32,8.75,8.2,B,Male,116,Public Relations and Administration,0.0
4.65,7.21,7.18,7.38,9.15,C,M,115,Engineering,0.0
4.76,6.37,7.67,7.52,4.95,E,Female,165,Engineering,0.0
7.99,7.68,4.65,7.34,8.84,B,Female,115,Environmental Science and Health,0.0
5.79,3.59,7.35,8.95,7.38,C,Male,116,Environmental Science and Health,6860.57
6.61,7.67,6.7,6.31,5.01,C,Female,115,Engineering,0.0
4.79,7.53,6.02,7.14,4.85,C,M,115,Engineering,9409.2
4.46,5.43,3.97,6.43,6.86,E,F,241,Economics,0.0
6.89,6.08,4.2,6.52,7.37,C,M,165,Engineering,5545.76
6.65,3.95,8.44,3.51,4.3,C,Male,241,Public Relations and Administration,0.0
7.23,5.18,7.61,4.06,8.57,D,M,165,Art,10257.95
5.04,3.95,5.58,5.69,8.6,E,Male,116,Aeronautics and Aviation Science,8196.12
4.0,6.07,6.74,5.15,5.23,A,Male,115,Economics,12002.74
6.56,6.43,7.45,5.18,8.56,E,F,116,Environmental Science and Health,0.0
4.23,4.14,5.08,7.24,6.47,D,Female,241,Environmental Science and Health,6533.52
4.32,8.16,8.43,5.82,4.51,B,Male,116,Economics,0.0
3.42,6.44,3.53,8.71,6.38,B,Female,116,Economics,0.0
3.45,7.82,6.56,5.36,9.56,A,M,165,Economics,0.0
6.2,5.99,8.22,7.91,8.69,D,Male,165,Public Relations and Administration,6931.33
3.34,6.73,5.75,8.1,5.47,C,M,241,Public Relations and Administration,0.0
6.82,3.68,5.42,5.83,5.74,C,Male,241,Aeronautics and Aviation Science,5561.25
3.29,8.16,7.71,8.02,8.24,B,Female,165,Aeronautics and Aviation Science,0.0
8.72,6.35,4.67,4.37,4.14,E,F,241,Environmental Science and Health,0.0
4.73,7.46,8.44,7.99,7.0,C,M,115,Environmental Science and Health,10566.14
8.35,3.35,6.48,4.91,4.67,D,Female,116,Art,0.0
7.04,6.15,7.45,5.49,4.58,C,Female,165,Environmental Science and Health,8519.94
5.51,7.9,7.16,6.13,4.8,E,F,116,Engineering,0.0
6.43,6.44,6.32,7.01,7.44,C,F,115,Engineering,0.0
6.14,5.16,4.11,5.03,4.66,C,Female,165,Economics,9302.96
4.46,6.11,4.77,3.63,4.37,D,Female,241,Environmental Science and Health,0.0
6.13,7.28,4.66,6.67,7.39,C,F,165,Aeronautics and Aviation Science,0.0
5.35,6.58,5.27,7.26,5.3,E,F,116,Aeronautics and Aviation Science,9940.25
5.65,7.64,7.5,4.7,7.03,C,M,116,Engineering,13439.64
6.1,5.72,3.68,4.89,4.87,A,M,165,Aeronautics and Aviation Science,0.0
8.85,7.53,8.65,3.58,6.91,C,M,241,Aeronautics and Aviation Science,0.0
4.53,7.77,5.5,7.34,4.68,D,F,115,Public Relations and Administration,0.0
4.08,6.59,6.01,7.14,5.05,B,F,165,Engineering,3857.63
6.12,6.88,6.61,8.95,5.91,B,F,116,Engineering,0.0
8.18,4.66,4.99,8.06,6.36,D,F,241,Engineering,0.0
7.82,7.09,7.55,8.91,4.01,E,M,115,Environmental Science and Health,0.0
6.9,8.0,5.16,8.59,5.61,B,Female,241,Environmental Science and Health,0.0
3.99,3.33,5.68,5.04,9.11,E,Male,165,Environmental Science and Health,3521.4
5.71,7.84,6.45,4.66,7.59,C,Female,165,Art,4673.52
4.93,5.25,5.13,7.53,7.74,D,Male,115,Environmental Science and Health,0.0
7.3,7.85,4.97,3.82,7.49,D,F,241,Public Relations and Administration,0.0
7.58,5.67,7.61,4.1,8.23,E,F,165,Public Relations and Administration,0.0
7.29,4.4,7.94,6.71,6.33,D,F,165,Aeronautics and Aviation Science,0.0
3.5,6.25,5.27,6.43,5.31,C,F,165,Engineering,0.0
5.45,7.75,7.8,7.78,6.63,C,M,115,Economics,5572.99
3.75,3.86,7.44,4.58,6.3,C,F,165,Art,0.0
4.41,3.49,6.89,3.56,4.58,C,Female,241,Environmental Science and Health,3074.3
8.39,7.12,7.24,8.26,4.04,B,Male,241,Economics,6557.18
7.41,7.76,8.66,6.83,6.59,C,Female,165,Environmental Science and Health,12551.8
4.56,5.2,3.66,5.77,4.21,C,Female,115,Economics,0.0
3.35,6.22,6.53,8.74,5.93,D,Female,116,Public Relations and Administration,0.0
8.47,5.9,6.38,8.21,5.77,E,Male,116,Engineering,14320.51
6.86,5.34,4.19,6.54,4.42,C,Female,165,Aeronautics and Aviation Science,0.0
6.67,6.85,5.85,4.29,4.95,E,M,116,Aeronautics and Aviation Science,0.0
5.25,5.23,5.29,7.78,8.85,D,F,115,Engineering,0.0
4.25,7.84,4.35,8.53,8.88,C,Female,241,Engineering,2051.89
6.25,4.4,3.58,8.55,7.33,C,F,115,Environmental Science and Health,0.0
8.74,6.35,6.08,8.19,4.71,E,Female,116,Engineering,4635.3
5.66,4.81,5.88,4.3,9.16,C,M,165,Art,0.0
7.86,5.67,7.51,6.45,5.92,B,M,116,Public Relations and Administration,5969.86
6.18,3.73,6.86,8.83,4.92,E,Male,115,Environmental Science and Health,0.0
4.92,6.64,8.12,7.0,4.43,B,F,116,Economics,0.0
7.25,4.08,3.51,4.81,5.27,E,M,165,Engineering,6216.79
4.82,7.29,4.66,5.9,5.15,A,Male,116,Economics,0.0
8.07,4.27,5.8,4.33,7.53,B,M,165,Environmental Science and Health,0.0
8.82,6.1,8.07,5.39,5.64,D,Female,165,Economics,0.0
7.66,6.56,4.53,5.98,6.66,E,Female,116,Public Relations and Administration,631.0
7.78,5.58,5.5,6.91,6.02,C,M,116,Public Relations and Administration,3403.26
5.26,7.75,6.38,7.21,6.88,C,Male,241,Environmental Science and Health,0.0
6.76,6.7,4.3,3.54,4.45,C,F,115,Economics,0.0
8.48,4.19,4.21,5.3,5.83,C,Male,241,Environmental Science and Health,623.57
8.5,3.4,6.81,7.56,5.0,D,Male,115,Environmental Science and Health,0.0
8.77,5.05,8.21,7.3,4.66,E,Male,165,Economics,0.0
6.37,6.08,6.35,7.06,8.4,D,Male,165,Engineering,6522.97
8.21,5.34,8.31,5.6,4.84,E,Female,165,Environmental Science and Health,10886.32
3.38,5.0,4.88,8.59,7.44,C,Female,115,Public Relations and Administration,2704.99
6.66,7.68,3.55,7.55,8.42,A,M,115,Environmental Science and Health,7488.38
7.38,5.46,3.84,5.03,5.51,C,Female,241,Environmental Science and Health,10061.13
7.79,4.49,7.22,6.04,8.14,D,M,241,Public Relations and Administration,2142.19
6.67,8.02,5.16,4.93,8.31,C,F,165,Economics,11950.8
5.35,5.49,4.77,6.96,5.93,C,M,165,Economics,15054.94
